# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20210101-20210131
# ----------------------------------------

Country,Source,Medium,Campaign,Device Category,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
United States,(direct),(none),(not set),desktop,"US$50,404.82","5,351","1,154",21.57%,803,15.01%,599,11.19%,"2,734",0,590:16:36,"60,987"
United States,(not set),(not set),(not set),desktop,"US$4,326.85",907,209,23.04%,104,11.47%,64,7.06%,442,0,95:02:50,"7,621"
United States,google,cpc, MIX | Txt ~ AW-Brand (US/Cali),desktop,"US$1,104.37",317,80,25.24%,28,8.83%,19,5.99%,160,0,38:18:48,"3,589"
United States,mall.googleplex.com,referral,(not set),desktop,"US$1,098.36",221,28,12.67%,31,14.03%,18,8.14%,120,0,18:08:28,"2,176"
Taiwan,(direct),(none),(not set),desktop,"US$1,079.44",211,80,37.91%,17,8.06%,20,9.48%,95,0,41:50:39,"2,369"
United States,google,organic,(not set),desktop,US$887.76,238,39,16.39%,21,8.82%,13,5.46%,81,0,21:58:49,"1,857"
United States,google,cpc, MIX | Txt ~ AW - Google Brand (US/Cali) - lower case description,desktop,US$577.80,74,16,21.62%,8,10.81%,4,5.41%,53,0,04:54:27,531
United States,(direct),(none),(not set),mobile,US$488.60,796,428,53.77%,27,3.39%,11,1.38%,505,0,33:22:38,"3,347"
(not set),(direct),(none),(not set),desktop,US$439.04,178,46,25.84%,25,14.04%,11,6.18%,98,0,18:37:25,"1,590"
United States,google.com,referral,(not set),desktop,US$325.12,36,6,16.67%,6,16.67%,7,19.44%,18,0,02:35:10,367
Canada,(direct),(none),(not set),desktop,US$299.60,448,139,31.03%,38,8.48%,6,1.34%,229,0,50:48:05,"3,318"
United States,google,cpc, MIX | Txt ~ AW - Apparel,desktop,US$247.80,102,18,17.65%,7,6.86%,6,5.88%,45,0,11:00:09,"1,076"
United States,google,cpc, MIX | Txt ~ AW - Apparel - lower case description,desktop,US$205.70,24,2,8.33%,4,16.67%,3,12.50%,12,0,03:32:01,452
Ireland,(not set),(not set),(not set),desktop,US$110.40,7,2,28.57%,1,14.29%,1,14.29%,3,0,00:34:15,46
China,(direct),(none),(not set),desktop,US$99.44,10,5,50.00%,1,10.00%,1,10.00%,8,0,01:18:23,97
United States,(direct),(none),(not set),tablet,US$92.00,28,15,53.57%,3,10.71%,2,7.14%,22,0,00:53:33,154
Singapore,(direct),(none),(not set),desktop,US$77.00,452,185,40.93%,9,1.99%,1,0.22%,181,0,50:37:21,"2,042"
United States,google,cpc, MIX | Txt ~ AW-Brand (US/Cali),mobile,US$60.00,57,24,42.11%,2,3.51%,1,1.75%,28,0,01:41:43,219
(not set),google,cpc, MIX | Txt ~ AW-Brand (US/Cali),desktop,US$60.00,7,4,57.14%,1,14.29%,1,14.29%,3,0,00:08:41,36
United States,linkedin.com,referral,(not set),desktop,US$59.20,4,2,50.00%,1,25.00%,1,25.00%,1,0,00:06:39,20
United States,(not set),(not set),(not set),mobile,US$53.80,88,37,42.05%,5,5.68%,1,1.14%,55,0,05:49:30,510
Ukraine,(direct),(none),(not set),desktop,US$37.00,45,13,28.89%,3,6.67%,1,2.22%,27,0,02:16:05,187
Switzerland,(direct),(none),(not set),desktop,US$24.00,34,20,58.82%,2,5.88%,2,5.88%,26,0,01:08:50,128
Belarus,(direct),(none),(not set),desktop,US$23.80,9,4,44.44%,1,11.11%,1,11.11%,3,0,00:39:43,24
United States,google,cpc, BMM | Txt ~ AW - Tumbler,desktop,US$18.00,4,2,50.00%,1,25.00%,1,25.00%,2,0,00:14:25,31
United States,google,cpc, PHR | Txt ~ AW - YouTube,mobile,US$16.00,21,12,57.14%,1,4.76%,1,4.76%,15,0,00:54:42,81
South Korea,(direct),(none),(not set),desktop,US$5.60,256,135,52.73%,7,2.73%,1,0.39%,156,0,09:33:46,927
Andorra,(direct),(none),(not set),desktop,US$0.00,2,1,50.00%,0,0.00%,0,0.00%,1,0,00:08:09,15
United Arab Emirates,(direct),(none),(not set),desktop,US$0.00,9,4,44.44%,0,0.00%,0,0.00%,8,0,00:23:37,45
United Arab Emirates,(direct),(none),(not set),mobile,US$0.00,2,1,50.00%,0,0.00%,0,0.00%,2,0,00:04:59,15
United Arab Emirates,(direct),(none),(not set),tablet,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
United Arab Emirates,Partners,affiliate,Data Share Promo,desktop,US$0.00,2,1,50.00%,0,0.00%,0,0.00%,2,0,00:00:15,4
Afghanistan,(direct),(none),(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:00:19,4
Afghanistan,(direct),(none),(not set),mobile,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:19:04,20
Albania,(direct),(none),(not set),desktop,US$0.00,4,2,50.00%,0,0.00%,0,0.00%,3,0,00:33:36,11
Armenia,(direct),(none),(not set),desktop,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
Armenia,(direct),(none),(not set),mobile,US$0.00,5,1,20.00%,0,0.00%,0,0.00%,1,0,00:57:25,111
Armenia,Partners,affiliate,Data Share Promo,desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:04:48,13
Argentina,(direct),(none),(not set),desktop,US$0.00,16,9,56.25%,1,6.25%,0,0.00%,15,0,00:29:20,62
Argentina,(direct),(none),(not set),mobile,US$0.00,6,5,83.33%,0,0.00%,0,0.00%,2,0,00:27:53,13
Argentina,mall.googleplex.com,referral,(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:00:58,9
Argentina,Partners,affiliate,Data Share Promo,desktop,US$0.00,10,5,50.00%,0,0.00%,0,0.00%,5,0,00:17:21,23
Austria,(direct),(none),(not set),desktop,US$0.00,16,11,68.75%,0,0.00%,0,0.00%,12,0,00:13:00,46
Austria,(direct),(none),(not set),mobile,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
Austria,google,organic,(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:00:15,2
Australia,(direct),(none),(not set),desktop,US$0.00,33,22,66.67%,0,0.00%,0,0.00%,21,0,02:08:39,215
Australia,(direct),(none),(not set),mobile,US$0.00,33,26,78.79%,0,0.00%,0,0.00%,15,0,00:27:15,71
Australia,(not set),(not set),(not set),desktop,US$0.00,3,3,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,3
Australia,(not set),(not set),(not set),mobile,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:03:23,12
Australia,(not set),(not set),(not set),tablet,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:00:07,1
Australia,google,organic,(not set),desktop,US$0.00,2,1,50.00%,0,0.00%,0,0.00%,1,0,00:00:38,4
Australia,google,organic,(not set),mobile,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:02:19,7
Aruba,(direct),(none),(not set),mobile,US$0.00,14,6,42.86%,0,0.00%,0,0.00%,1,0,00:18:04,44
Azerbaijan,(direct),(none),(not set),desktop,US$0.00,8,1,12.50%,0,0.00%,0,0.00%,3,0,00:46:39,47
Azerbaijan,(direct),(none),(not set),mobile,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
Azerbaijan,(not set),(not set),(not set),desktop,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
Bosnia & Herzegovina,(direct),(none),(not set),desktop,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
Bangladesh,(direct),(none),(not set),desktop,US$0.00,9,5,55.56%,0,0.00%,0,0.00%,5,0,00:27:13,34
Bangladesh,(direct),(none),(not set),mobile,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:03:03,3
Belgium,(direct),(none),(not set),desktop,US$0.00,26,13,50.00%,0,0.00%,0,0.00%,19,0,01:50:28,93
Belgium,(direct),(none),(not set),mobile,US$0.00,3,2,66.67%,0,0.00%,0,0.00%,2,0,00:07:32,18
Belgium,(not set),(not set),(not set),desktop,US$0.00,4,2,50.00%,1,25.00%,0,0.00%,4,0,00:08:01,25
Belgium,(not set),(not set),(not set),mobile,US$0.00,3,0,0.00%,0,0.00%,0,0.00%,3,0,00:14:41,21
Burkina Faso,(not set),(not set),(not set),desktop,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
Bulgaria,(direct),(none),(not set),desktop,US$0.00,6,2,33.33%,1,16.67%,0,0.00%,3,0,00:32:34,27
Bulgaria,(not set),(not set),(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:02:07,6
Bolivia,(direct),(none),(not set),desktop,US$0.00,11,6,54.55%,0,0.00%,0,0.00%,5,0,00:35:18,23
Bolivia,(direct),(none),(not set),mobile,US$0.00,2,1,50.00%,0,0.00%,0,0.00%,1,0,00:00:19,3
Brazil,(direct),(none),(not set),desktop,US$0.00,61,28,45.90%,4,6.56%,0,0.00%,46,0,03:22:33,287
Brazil,(direct),(none),(not set),mobile,US$0.00,18,15,83.33%,0,0.00%,0,0.00%,12,0,00:08:59,37
Brazil,(direct),(none),(not set),tablet,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
Brazil,(not set),(not set),(not set),desktop,US$0.00,4,3,75.00%,0,0.00%,0,0.00%,3,0,00:01:28,9
Brazil,google,organic,(not set),mobile,US$0.00,4,3,75.00%,0,0.00%,0,0.00%,1,0,00:02:26,5
Brazil,mall.googleplex.com,referral,(not set),desktop,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
Brazil,Partners,affiliate,Data Share Promo,desktop,US$0.00,7,4,57.14%,0,0.00%,0,0.00%,4,0,00:05:39,17
Brazil,Partners,affiliate,Data Share Promo,mobile,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:00:49,2
Bahamas,(direct),(none),(not set),desktop,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
Botswana,(not set),(not set),(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:01:08,5
Belarus,(direct),(none),(not set),tablet,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,1
Belarus,(not set),(not set),(not set),desktop,US$0.00,3,3,100.00%,0,0.00%,0,0.00%,1,0,00:00:00,3
Belize,(direct),(none),(not set),desktop,US$0.00,4,4,100.00%,0,0.00%,0,0.00%,2,0,00:00:00,4
Canada,(direct),(none),(not set),mobile,US$0.00,70,36,51.43%,2,2.86%,0,0.00%,48,0,04:31:48,328
Canada,(direct),(none),(not set),tablet,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:00:18,3
Canada,(not set),(not set),(not set),desktop,US$0.00,51,20,39.22%,2,3.92%,0,0.00%,24,0,08:02:37,388
Canada,(not set),(not set),(not set),mobile,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,0,00:00:43,2
Canada,dfa,cpm,(not set),desktop,US$0.00,13,6,46.15%,1,7.69%,0,0.00%,9,0,00:35:31,47
Canada,dfa,cpm,(not set),mobile,US$0.00,65,57,87.69%,1,1.54%,0,0.00%,28,0,00:34:42,122
Canada,dfa,cpm,(not set),tablet,US$0.00,4,4,100.00%,0,0.00%,0,0.00%,4,0,00:00:00,4
Canada,google,cpc, BMM | Txt ~ AW - Hoodies,desktop,US$0.00,28,21,75.00%,1,3.57%,0,0.00%,26,0,00:19:17,83
Canada,google,cpc, BMM | Txt ~ AW - Hoodies,mobile,US$0.00,17,14,82.35%,0,0.00%,0,0.00%,12,0,00:27:35,35
Canada,google,cpc, BMM | Txt ~ AW - Hoodies,tablet,US$0.00,11,9,81.82%,0,0.00%,0,0.00%,7,0,00:00:53,13
Canada,google,cpc, BMM | Txt ~ AW - Tumbler,desktop,US$0.00,2,1,50.00%,0,0.00%,0,0.00%,2,0,00:04:55,7
Canada,google,cpc, EXA | Txt ~ AW - Hoodies,desktop,US$0.00,10,9,90.00%,0,0.00%,0,0.00%,9,0,00:00:21,11
Canada,google,cpc, EXA | Txt ~ AW - Hoodies,mobile,US$0.00,2,2,100.00%,0,0.00%,0,0.00%,2,0,00:00:00,2
