# ----------------------------------------
# 1 Master View
# Sessions - Details of User - Export by Month
# 20220901-20220930
# ----------------------------------------

Country,Source,Medium,Campaign,Device Category,Total Value,Sessions,Bounces,Bounce Rate,Entered Checkout (Goal 4 Completions),Entered Checkout (Goal 4 Conversion Rate),Transactions,E-commerce Conversion Rate,Users,New Users,Session Duration,Page Views
United States,(direct),(none),(not set),desktop,"US$50,565.05","14,087","3,979",28.25%,"1,195",8.48%,469,3.33%,"13,941","14,087",1135:59:26,"106,418"
United States,(direct),(none),(not set),mobile,"US$4,410.85","7,236","3,689",50.98%,193,2.67%,71,0.98%,"7,291","7,236",267:51:30,"28,933"
United Kingdom,(direct),(none),(not set),desktop,"US$2,545.40","1,717",635,36.98%,81,4.72%,25,1.46%,"1,717","1,717",85:19:53,"8,407"
Canada,(direct),(none),(not set),desktop,"US$2,357.80","1,276",471,36.91%,56,4.39%,16,1.25%,"1,276","1,276",86:14:33,"6,703"
United States,google,cpc,(not set),desktop,"US$1,746.38",277,87,31.41%,14,5.05%,9,3.25%,277,277,17:10:23,"1,675"
United States,google,cpc, MIX | Txt ~ AW-Brand (US/Cali),desktop,US$749.76,403,97,24.07%,18,4.47%,7,1.74%,402,403,27:23:18,"2,649"
United Kingdom,(direct),(none),(not set),mobile,US$433.60,732,343,46.86%,20,2.73%,3,0.41%,732,732,20:48:59,"2,239"
United States,google,cpc, MIX | Txt ~ AW - Apparel,desktop,US$343.80,165,38,23.03%,11,6.67%,3,1.82%,165,165,11:09:53,"1,308"
United States,google,cpc, MIX | Txt ~ AW-Brand (US/Cali),mobile,US$331.80,459,128,27.89%,13,2.83%,7,1.53%,457,459,24:42:49,"2,702"
United States,bing,cpc,MSFT - Brand,desktop,US$293.00,196,90,45.92%,4,2.04%,2,1.02%,196,196,08:53:03,833
United States,google,cpc, MIX | Txt ~ AW - Apparel,mobile,US$280.20,264,95,35.98%,5,1.89%,4,1.52%,263,264,11:22:18,"1,409"
United States,google,cpc, MIX | Txt ~ AW - Drinkware,desktop,US$236.80,5,3,60.00%,1,20.00%,1,20.00%,5,5,00:21:28,55
Kyrgyzstan,(direct),(none),(not set),desktop,US$202.00,2,1,50.00%,1,50.00%,1,50.00%,2,2,00:50:04,45
United States,google,cpc, Test,mobile,US$200.25,542,401,73.99%,5,0.92%,4,0.74%,542,542,13:07:18,"1,371"
Netherlands,(direct),(none),(not set),desktop,US$176.00,462,258,55.84%,7,1.52%,1,0.22%,462,462,14:54:10,"1,319"
United States,google,cpc,(not set),mobile,US$150.00,114,24,21.05%,5,4.39%,2,1.75%,114,114,06:11:14,795
Spain,(direct),(none),(not set),desktop,US$136.80,639,379,59.31%,7,1.10%,3,0.47%,637,639,18:34:13,"1,587"
Poland,(direct),(none),(not set),desktop,US$120.80,285,152,53.33%,2,0.70%,1,0.35%,285,285,09:41:04,948
Mexico,(direct),(none),(not set),desktop,US$84.00,284,118,41.55%,6,2.11%,1,0.35%,283,284,17:34:47,"1,224"
United States,bing,cpc,MSFT - Product Categories,desktop,US$82.75,25,9,36.00%,1,4.00%,1,4.00%,25,25,01:03:57,123
Singapore,(direct),(none),(not set),desktop,US$80.00,476,223,46.85%,15,3.15%,1,0.21%,471,476,29:15:30,"2,125"
Germany,(direct),(none),(not set),mobile,US$71.20,312,179,57.37%,8,2.56%,1,0.32%,312,312,09:30:39,951
Norway,(direct),(none),(not set),desktop,US$68.00,75,35,46.67%,1,1.33%,1,1.33%,75,75,02:51:11,249
Italy,(direct),(none),(not set),mobile,US$55.20,115,61,53.04%,3,2.61%,1,0.87%,115,115,04:19:44,434
Netherlands,(direct),(none),(not set),tablet,US$50.40,4,2,50.00%,1,25.00%,1,25.00%,4,4,00:16:56,48
Switzerland,(direct),(none),(not set),desktop,US$50.00,249,105,42.17%,10,4.02%,1,0.40%,248,249,12:54:17,"1,176"
Netherlands,(direct),(none),(not set),mobile,US$49.00,301,167,55.48%,4,1.33%,1,0.33%,301,301,09:09:49,993
Colombia,(direct),(none),(not set),desktop,US$42.40,257,128,49.81%,4,1.56%,1,0.39%,257,257,17:16:21,842
India,(direct),(none),(not set),desktop,US$29.75,"2,583","1,219",47.19%,49,1.90%,1,0.04%,"2,578","2,583",107:02:16,"8,440"
United States,google,cpc,(not set),tablet,US$24.50,9,4,44.44%,1,11.11%,1,11.11%,9,9,00:45:24,50
United States,google,cpc, MIX | Txt ~ AW-Brand (US/Cali),tablet,US$13.75,10,2,20.00%,1,10.00%,1,10.00%,10,10,01:15:25,109
United States,google,cpc, Test,tablet,US$12.00,33,21,63.64%,1,3.03%,1,3.03%,33,33,00:23:39,72
Canada,google,cpc, MIX | Txt ~ AW - YouTube,mobile,US$4.00,32,23,71.88%,1,3.12%,1,3.12%,32,32,00:40:20,79
United States,google,cpc, EXA | Txt ~ AW - YouTube,mobile,US$4.00,124,61,49.19%,2,1.61%,1,0.81%,124,124,03:14:13,499
Andorra,(direct),(none),(not set),desktop,US$0.00,8,5,62.50%,1,12.50%,0,0.00%,8,8,00:10:04,23
Andorra,(direct),(none),(not set),mobile,US$0.00,34,13,38.24%,1,2.94%,0,0.00%,34,34,00:43:06,113
Andorra,(direct),(none),(not set),tablet,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:00:34,4
United Arab Emirates,(direct),(none),(not set),desktop,US$0.00,90,47,52.22%,1,1.11%,0,0.00%,89,90,03:35:21,289
United Arab Emirates,(direct),(none),(not set),mobile,US$0.00,34,20,58.82%,1,2.94%,0,0.00%,34,34,00:22:30,69
United Arab Emirates,(direct),(none),(not set),tablet,US$0.00,5,4,80.00%,0,0.00%,0,0.00%,5,5,00:06:49,22
United Arab Emirates,google,cpc, BMM | Txt ~ AW - Hoodies,mobile,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
United Arab Emirates,google,cpc,(not set),mobile,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:01:49,8
United Arab Emirates,Partners,affiliate,Data Share Promo,desktop,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Afghanistan,(direct),(none),(not set),desktop,US$0.00,24,10,41.67%,0,0.00%,0,0.00%,24,24,00:47:55,77
Afghanistan,(direct),(none),(not set),mobile,US$0.00,50,27,54.00%,1,2.00%,0,0.00%,50,50,01:43:02,154
Afghanistan,google,cpc, MIX | Txt ~ AW-Brand (US/Cali),mobile,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:05:08,7
Antigua & Barbuda,(direct),(none),(not set),desktop,US$0.00,2,0,0.00%,0,0.00%,0,0.00%,2,2,00:03:40,9
Antigua & Barbuda,(direct),(none),(not set),mobile,US$0.00,7,2,28.57%,0,0.00%,0,0.00%,7,7,00:57:48,38
Albania,(direct),(none),(not set),desktop,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Albania,(direct),(none),(not set),mobile,US$0.00,4,3,75.00%,0,0.00%,0,0.00%,4,4,00:00:07,6
Armenia,(direct),(none),(not set),desktop,US$0.00,8,2,25.00%,0,0.00%,0,0.00%,8,8,00:51:08,77
Armenia,(direct),(none),(not set),mobile,US$0.00,2,2,100.00%,0,0.00%,0,0.00%,2,2,00:00:00,2
Angola,(direct),(none),(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:01:47,3
Antarctica,(direct),(none),(not set),desktop,US$0.00,3,1,33.33%,0,0.00%,0,0.00%,3,3,00:09:23,13
Antarctica,(direct),(none),(not set),mobile,US$0.00,4,0,0.00%,0,0.00%,0,0.00%,4,4,00:04:10,16
Argentina,(direct),(none),(not set),desktop,US$0.00,178,107,60.11%,4,2.25%,0,0.00%,178,178,07:12:33,564
Argentina,(direct),(none),(not set),mobile,US$0.00,38,19,50.00%,0,0.00%,0,0.00%,38,38,00:52:20,93
Argentina,google,cpc,(not set),desktop,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
Argentina,Partners,affiliate,Data Share Promo,mobile,US$0.00,2,2,100.00%,0,0.00%,0,0.00%,2,2,00:00:00,2
American Samoa,(direct),(none),(not set),desktop,US$0.00,1,0,0.00%,0,0.00%,0,0.00%,1,1,00:00:55,4
American Samoa,(direct),(none),(not set),mobile,US$0.00,4,1,25.00%,0,0.00%,0,0.00%,4,4,00:06:24,15
American Samoa,google,cpc, BMM | Txt ~ AW - Hoodies,desktop,US$0.00,2,2,100.00%,0,0.00%,0,0.00%,2,2,00:00:00,2
American Samoa,google,cpc, BMM | Txt ~ AW - Hoodies,mobile,US$0.00,1,1,100.00%,0,0.00%,0,0.00%,1,1,00:00:00,1
